	Model	Success Rate	Average Runtime (ms)	Average Memory Usage (bytes)
0	Leetcode	100.00%	52.25826666666668	368.76
1	gpt-3.5	78.67%	57.9282	688.84
2	gpt-4o-mini	77.33%	59.06786666666667	679.3199999999999
3	o3-mini	100.00%	56.09793333333333	175.06666666666666
4	claude-3	100.00%	54.85846666666666	162.73333333333332
5	claude-3-5	100.00%	53.32566666666666	162.73333333333332
6	claude-3-7	100.00%	53.308066666666676	163.33333333333334
7	gemini-1.5	100.00%	52.41113333333333	169.97333333333333
8	mistral-large	100.00%	53.33546666666666	163.30666666666667
9	mistral-nemo	100.00%	52.28233333333334	162.73333333333332
10	codestral-latest	100.00%	52.90506666666668	162.73333333333332
