	Problem	Status	Success rate	Average Run Time (ms)	Average Memory Usage (bytes)
0	two_sum (Leetcode)	Success 🟢	5/5	52.883	3053.2
1	two_sum (gpt-3.5-turbo)	Fail 🔴	4/5	53.236	412.8
2	two_sum (gpt-4o-mini)	Fail 🔴	4/5	53.137	203.2
3	two_sum (o3-mini)	Success 🟢	5/5	53.263	216.4
4	two_sum (claude-3-haiku-20240307)	Success 🟢	5/5	48.933	178.0
5	two_sum (claude-3-5-sonnet-20241022)	Success 🟢	5/5	49.0	178.0
6	two_sum (claude-3-7-sonnet-20250219)	Success 🟢	5/5	48.665	178.0
7	two_sum (gemini-1.5-flash)	Success 🟢	5/5	48.935	178.0
8	two_sum (mistral-large-latest)	Success 🟢	5/5	48.848	178.0
9	two_sum (open-mistral-nemo)	Success 🟢	5/5	49.137	178.0
10	two_sum (codestral-latest)	Success 🟢	5/5	48.756	178.0
11	roman_to_int (Leetcode)	Success 🟢	5/5	48.852	164.2
12	roman_to_int (gpt-3.5-turbo)	Success 🟢	5/5	53.5	164.2
13	roman_to_int (gpt-4o-mini)	Success 🟢	5/5	50.833	164.2
14	roman_to_int (o3-mini)	Success 🟢	5/5	50.17	164.2
15	roman_to_int (claude-3-haiku-20240307)	Success 🟢	5/5	52.686	164.2
16	roman_to_int (claude-3-5-sonnet-20241022)	Success 🟢	5/5	50.155	164.2
17	roman_to_int (claude-3-7-sonnet-20250219)	Success 🟢	5/5	50.282	164.2
18	roman_to_int (gemini-1.5-flash)	Success 🟢	5/5	49.452	164.2
19	roman_to_int (mistral-large-latest)	Success 🟢	5/5	50.952	164.2
20	roman_to_int (open-mistral-nemo)	Success 🟢	5/5	48.667	164.2
21	roman_to_int (codestral-latest)	Success 🟢	5/5	49.065	164.2
22	longest_common_prefix (Leetcode)	Success 🟢	5/5	48.795	175.8
23	longest_common_prefix (gpt-3.5-turbo)	Success 🟢	5/5	60.545	175.8
24	longest_common_prefix (gpt-4o-mini)	Success 🟢	5/5	57.534	175.8
25	longest_common_prefix (o3-mini)	Success 🟢	5/5	50.864	175.8
26	longest_common_prefix (claude-3-haiku-20240307)	Success 🟢	5/5	51.42	175.8
27	longest_common_prefix (claude-3-5-sonnet-20241022)	Success 🟢	5/5	52.069	175.8
28	longest_common_prefix (claude-3-7-sonnet-20250219)	Success 🟢	5/5	49.157	175.8
29	longest_common_prefix (gemini-1.5-flash)	Success 🟢	5/5	51.338	175.8
30	longest_common_prefix (mistral-large-latest)	Success 🟢	5/5	49.764	175.8
31	longest_common_prefix (open-mistral-nemo)	Success 🟢	5/5	49.292	175.8
32	longest_common_prefix (codestral-latest)	Success 🟢	5/5	49.328	175.8
33	valid_parentheses (Leetcode)	Success 🟢	5/5	52.829	176.4
34	valid_parentheses (gpt-3.5-turbo)	Success 🟢	5/5	57.643	176.4
35	valid_parentheses (gpt-4o-mini)	Success 🟢	5/5	57.986	176.4
36	valid_parentheses (o3-mini)	Success 🟢	5/5	68.987	176.4
37	valid_parentheses (claude-3-haiku-20240307)	Success 🟢	5/5	62.664	176.4
38	valid_parentheses (claude-3-5-sonnet-20241022)	Success 🟢	5/5	55.128	176.4
39	valid_parentheses (claude-3-7-sonnet-20250219)	Success 🟢	5/5	54.667	176.4
40	valid_parentheses (gemini-1.5-flash)	Success 🟢	5/5	56.44	176.4
41	valid_parentheses (mistral-large-latest)	Success 🟢	5/5	54.289	176.4
42	valid_parentheses (open-mistral-nemo)	Success 🟢	5/5	53.323	176.4
43	valid_parentheses (codestral-latest)	Success 🟢	5/5	57.02	176.4
44	merge_two_lists (Leetcode)	Success 🟢	5/5	53.646	182.8
45	merge_two_lists (gpt-3.5-turbo)	Fail 🔴	2/5	56.868	2267.4
46	merge_two_lists (gpt-4o-mini)	Fail 🔴	1/5	58.595	2261.2
47	merge_two_lists (o3-mini)	Success 🟢	5/5	57.633	182.8
48	merge_two_lists (claude-3-haiku-20240307)	Success 🟢	5/5	54.235	182.8
49	merge_two_lists (claude-3-5-sonnet-20241022)	Success 🟢	5/5	52.066	182.8
50	merge_two_lists (claude-3-7-sonnet-20250219)	Success 🟢	5/5	50.816	191.8
51	merge_two_lists (gemini-1.5-flash)	Success 🟢	5/5	51.512	264.4
52	merge_two_lists (mistral-large-latest)	Success 🟢	5/5	51.253	182.8
53	merge_two_lists (open-mistral-nemo)	Success 🟢	5/5	54.435	182.8
54	merge_two_lists (codestral-latest)	Success 🟢	5/5	52.711	182.8
55	add_two_numbers (Leetcode)	Success 🟢	5/5	49.997	184.0
56	add_two_numbers (gpt-3.5-turbo)	Fail 🔴	0/5	54.488	3664.6
57	add_two_numbers (gpt-4o-mini)	Fail 🔴	0/5	52.647	3687.8
58	add_two_numbers (o3-mini)	Success 🟢	5/5	51.837	184.0
59	add_two_numbers (claude-3-haiku-20240307)	Success 🟢	5/5	52.19	184.0
60	add_two_numbers (claude-3-5-sonnet-20241022)	Success 🟢	5/5	52.723	184.0
61	add_two_numbers (claude-3-7-sonnet-20250219)	Success 🟢	5/5	50.552	184.0
62	add_two_numbers (gemini-1.5-flash)	Success 🟢	5/5	50.84	184.0
63	add_two_numbers (mistral-large-latest)	Success 🟢	5/5	49.385	192.6
64	add_two_numbers (open-mistral-nemo)	Success 🟢	5/5	50.808	184.0
65	add_two_numbers (codestral-latest)	Success 🟢	5/5	49.571	184.0
66	longest_substring (Leetcode)	Success 🟢	5/5	50.081	247.6
67	longest_substring (gpt-3.5-turbo)	Success 🟢	5/5	52.688	123.0
68	longest_substring (gpt-4o-mini)	Success 🟢	5/5	51.136	123.0
69	longest_substring (o3-mini)	Success 🟢	5/5	53.419	123.0
70	longest_substring (claude-3-haiku-20240307)	Success 🟢	5/5	49.474	123.0
71	longest_substring (claude-3-5-sonnet-20241022)	Success 🟢	5/5	53.755	123.0
72	longest_substring (claude-3-7-sonnet-20250219)	Success 🟢	5/5	54.019	123.0
73	longest_substring (gemini-1.5-flash)	Success 🟢	5/5	48.616	123.0
74	longest_substring (mistral-large-latest)	Success 🟢	5/5	49.618	123.0
75	longest_substring (open-mistral-nemo)	Success 🟢	5/5	50.18	123.0
76	longest_substring (codestral-latest)	Success 🟢	5/5	50.757	123.0
77	longest_palindrome (Leetcode)	Success 🟢	5/5	49.762	177.6
78	longest_palindrome (gpt-3.5-turbo)	Fail 🔴	3/5	57.279	177.6
79	longest_palindrome (gpt-4o-mini)	Fail 🔴	3/5	106.487	177.6
80	longest_palindrome (o3-mini)	Success 🟢	5/5	53.047	177.6
81	longest_palindrome (claude-3-haiku-20240307)	Success 🟢	5/5	56.025	177.6
82	longest_palindrome (claude-3-5-sonnet-20241022)	Success 🟢	5/5	52.798	177.6
83	longest_palindrome (claude-3-7-sonnet-20250219)	Success 🟢	5/5	53.097	177.6
84	longest_palindrome (gemini-1.5-flash)	Success 🟢	5/5	51.223	177.6
85	longest_palindrome (mistral-large-latest)	Success 🟢	5/5	57.105	177.6
86	longest_palindrome (open-mistral-nemo)	Success 🟢	5/5	59.415	177.6
87	longest_palindrome (codestral-latest)	Success 🟢	5/5	57.962	177.6
88	reverse_integer (Leetcode)	Success 🟢	5/5	56.934	154.2
89	reverse_integer (gpt-3.5-turbo)	Success 🟢	5/5	58.404	154.2
90	reverse_integer (gpt-4o-mini)	Success 🟢	5/5	56.339	154.2
91	reverse_integer (o3-mini)	Success 🟢	5/5	61.28	154.2
92	reverse_integer (claude-3-haiku-20240307)	Success 🟢	5/5	64.251	154.2
93	reverse_integer (claude-3-5-sonnet-20241022)	Success 🟢	5/5	54.281	154.2
94	reverse_integer (claude-3-7-sonnet-20250219)	Success 🟢	5/5	52.436	154.2
95	reverse_integer (gemini-1.5-flash)	Success 🟢	5/5	52.912	181.2
96	reverse_integer (mistral-large-latest)	Success 🟢	5/5	52.661	154.2
97	reverse_integer (open-mistral-nemo)	Success 🟢	5/5	51.122	154.2
98	reverse_integer (codestral-latest)	Success 🟢	5/5	54.372	154.2
99	str_int_atoi (Leetcode)	Success 🟢	5/5	51.151	244.8
100	str_int_atoi (gpt-3.5-turbo)	Success 🟢	5/5	58.89	154.2
101	str_int_atoi (gpt-4o-mini)	Success 🟢	5/5	51.489	154.2
102	str_int_atoi (o3-mini)	Success 🟢	5/5	57.265	277.8
103	str_int_atoi (claude-3-haiku-20240307)	Success 🟢	5/5	54.461	154.2
104	str_int_atoi (claude-3-5-sonnet-20241022)	Success 🟢	5/5	55.135	154.2
105	str_int_atoi (claude-3-7-sonnet-20250219)	Success 🟢	5/5	52.476	154.2
106	str_int_atoi (gemini-1.5-flash)	Success 🟢	5/5	52.988	154.2
107	str_int_atoi (mistral-large-latest)	Success 🟢	5/5	52.218	154.2
108	str_int_atoi (open-mistral-nemo)	Success 🟢	5/5	50.254	154.2
109	str_int_atoi (codestral-latest)	Success 🟢	5/5	50.52	154.2
110	median_sorted_arrays (Leetcode)	Success 🟢	5/5	54.388	154.4
111	median_sorted_arrays (gpt-3.5-turbo)	Success 🟢	5/5	68.65	154.4
112	median_sorted_arrays (gpt-4o-mini)	Success 🟢	5/5	57.609	154.4
113	median_sorted_arrays (o3-mini)	Success 🟢	5/5	55.699	177.4
114	median_sorted_arrays (claude-3-haiku-20240307)	Success 🟢	5/5	52.232	154.4
115	median_sorted_arrays (claude-3-5-sonnet-20241022)	Success 🟢	5/5	51.867	154.4
116	median_sorted_arrays (claude-3-7-sonnet-20250219)	Success 🟢	5/5	52.808	154.4
117	median_sorted_arrays (gemini-1.5-flash)	Success 🟢	5/5	52.502	154.4
118	median_sorted_arrays (mistral-large-latest)	Success 🟢	5/5	49.931	154.4
119	median_sorted_arrays (open-mistral-nemo)	Success 🟢	5/5	51.498	154.4
120	median_sorted_arrays (codestral-latest)	Success 🟢	5/5	51.116	154.4
121	regex_match (Leetcode)	Success 🟢	5/5	51.476	176.4
122	regex_match (gpt-3.5-turbo)	Success 🟢	5/5	52.589	176.4
123	regex_match (gpt-4o-mini)	Success 🟢	5/5	55.669	176.4
124	regex_match (o3-mini)	Success 🟢	5/5	52.773	176.4
125	regex_match (claude-3-haiku-20240307)	Success 🟢	5/5	55.916	176.4
126	regex_match (claude-3-5-sonnet-20241022)	Success 🟢	5/5	49.41	176.4
127	regex_match (claude-3-7-sonnet-20250219)	Success 🟢	5/5	53.974	176.4
128	regex_match (gemini-1.5-flash)	Success 🟢	5/5	51.597	176.4
129	regex_match (mistral-large-latest)	Success 🟢	5/5	50.454	176.4
130	regex_match (open-mistral-nemo)	Success 🟢	5/5	50.437	176.4
131	regex_match (codestral-latest)	Success 🟢	5/5	51.37	176.4
132	merge_k_lists (Leetcode)	Success 🟢	5/5	51.916	183.8
133	merge_k_lists (gpt-3.5-turbo)	Fail 🔴	0/5	56.777	2275.4
134	merge_k_lists (gpt-4o-mini)	Fail 🔴	0/5	63.168	2325.2
135	merge_k_lists (o3-mini)	Success 🟢	5/5	64.305	183.8
136	merge_k_lists (claude-3-haiku-20240307)	Success 🟢	5/5	64.535	183.8
137	merge_k_lists (claude-3-5-sonnet-20241022)	Success 🟢	5/5	58.702	183.8
138	merge_k_lists (claude-3-7-sonnet-20250219)	Success 🟢	5/5	63.119	183.8
139	merge_k_lists (gemini-1.5-flash)	Success 🟢	5/5	62.276	183.8
140	merge_k_lists (mistral-large-latest)	Success 🟢	5/5	75.69	183.8
