	Model	Success Rate	Average Runtime (ms)	Average Memory Usage (bytes)
0	Leetcode	0.00%	5.4330625	3100.175
1	gpt-3.5	0.00%	6.3144375	2949.8
2	gpt-4o-mini	0.00%	5.85325	2936.7
3	o3-mini	0.00%	5.6555625	2948.5375000000004
4	claude-3	0.00%	5.5024999999999995	2933.0
5	claude-3-5	0.00%	5.353937500000001	2933.0
6	claude-3-7	0.00%	5.308375	2933.0
7	gemini-1.5	0.00%	5.305937499999999	2934.6875
8	mistral-large	0.00%	5.286062499999999	2933.5375
9	mistral-nemo	0.00%	5.5244374999999994	2933.0
10	codestral-latest	0.00%	5.418875000000001	2933.0
